210		212		205		-	-	-	-	-	95,6		(110,7)		66,9		78,0		90,2
220		222		215		(18,8)	59,4	(16,4)	(38,8)	(67,0)	97,2		(111,6)		68,6		79,1		90,7
230		232		225		20,6	60,3	(18,7)	(40,5)	(68,2)	96,7		(112,5)		70,2		80,1		91,2
240		242		235		22,2	62,2	20,9	42,2	(69,3)	110,1		(113,3)		71,6		81,0		91,7
250		252		245		23,9	62,0	23,0	42,8	70,3	(101,4)		(114,0)		72,9		81,9		92,1
260		262		255		25,4	62,8	24,9	45,3	71,3	(102,6)		(114,7)		74,1		(82,7)		92,5
270		272		265		26,9	63,6	26,8	46,8	72,2	(103,7)		(115,3)		75,2		(83,5)		92,9
280		282		275		28,3	64,5	28,6	48,2	73,1	(104,7)		(115,9)		76,3		(84,2)		(93,3)
290		293		285		29,7	65,1	30,2	49,5	73,9	(105,6)		(116,4)		77,3		(84,8)		(93,6)
300		303		295		31,0	65,8	31,9	50,7	74,7	(106,5)		(169,9)		78,2		(85,5)		(93,9)
310		313		304		32,3	66,4	33,4	51,9	75,4	(107,3)		(117,4)		79,1		(86,0)		(94,2)
320		323		314		33,5	67,1	34,9	53,0	76,1	(108,1)		(117,8)		79,9		(86,6)		(94,5)
330		333		324		34,6	67,7	36,3	54,1	76,8	(108,8)		(118,2)		80,6		(87,1)		(94,8)
340		343		334		35,8	68,3	37,6	55,2	77,4	(109,5)		(118,6)		81,4		(87,6)		(95,0)
350		353		344		36,8	68,8	39,0	56,2	78,0	-		-		-		-		-
360		363		354		37,9	69,4	40,2	57,2	78,6	-		-		-		-		-
370		373		363		38,9	69,9	41,4	58,1	79,2	-		-		-		-		-
380		383		373		39,9	70,4	42,6	59,0	79,7	-		-		-		-		-
390     	393     	383     	40,8	71,0	43,7	59,9	80,2	-           	-           	-           	-           	-
400		404		392		41,7	71,4	44,8	60,7	80,7	-		-		-		-		-
410		414		402		42,6	71,9	45,8	61,5	81,2	-		-		-		-		-
420		424		412		43,5	72,4	46,9	62,3	81,6	-		-		-		-		-
430		434		422		44,3	72,8	47,8	63,1	82,1	-		-		-		-		-
440		444		431		45,1	73,3	48,8	63,8	82,5	-		-		-		-		-
450		454		441		45,9	73,7	49,7	64,5	82,9	-		-		-		-		-
460		464		450		46,7	74,1	50,5	65,2	83,3	-		-		-		-		-
470		474		460		47,4	74,5	51,4	65,8	83,7	-		-		-		-		-
480		484		469		48,2	74,9	52,2	66,5	84,0	-		-		-		-		-
490		494		479		48,9	75,3	53,1	67,1	84,4	-		-		-		-		-
500		505		488		49,5	75,6	53,9	67,7	84,7	-		-		-		-		-
510		515		498		50,2	76,0	54,6	68,3	85,1	-		-		-		-		-
520		525		507		50,9	76,4	55,4	68,9	85,4	-		-		-		-		-
530		535		517		51,6	76,7	56,2	69,5	85,7	-		-		-		-		-
540		545		526		52,1	77,0	56,8	70,0	86,0	-		-		-		-		-
550		555		535		52,7	77,4	57,6	70,6	86,3	-		-		-		-		-
560		565		545		53,3	77,7	58,2	71,1	86,6	-		-		-		-		-
570		575		554		53,9	78,0	58,9	71,6	86,9	-		-		-		-		-
580		585		563		54,5	78,3	59,6	72,1	87,1	-		-		-		-		-
590		595		572		55,0	78,6	60,2	72,6	87,4	-		-		-		-		-
600		606		582		55,6	78,9	60,8	73,0	87,7	-		-		-		-		-
610		616		591		56,1	79,2	61,4	73,5	87,9	-		-		-		-		-
620		626		600		56,6	79,5	62,0	74,0	88,2	-		-		-		-		-
630		636		-		57,1	79,8	62,6	74,4	88,4	-		-		-		-		-
640		646		-		57,6	80,0	63,2	74,8	88,6	-		-		-		-		-
650		656		-		58,1	80,3	63,7	75,3	88,8	-		-		-		-		-
660		666		-		58,6	80,6	64,3	75,7	89,1	-		-		-		-		-
670		676		-		59,0	80,8	64,8	76,1	89,3	-		-		-		-		-
680		686		-		59,5	81,0	65,3	76,5	89,5	-		-		-		-		-
690		697		-		59,9	81,3	65,8	76,9	89,7	-		-		-		-		-
700		707		-		60,4	81,5	66,3	77,3	89,9	-		-		-		-		-
710		717		-		60,8	81,8	66,8	77,7	90,1	-		-		-		-		-
720		727		-		61,2	82,0	67,3	78,0	90,3	-		-		-		-		-
730		737		-		61,6	82,2	67,8	78,4	90,5	-		-		-		-		-
740		747		-		62,0	82,5	68,2	78,8	90,7	-		-		-		-		-
750		757		-		62,4	82,7	68,7	79,1	90,8	-		-		-		-		-
760		767		-		62,8	82,9	69,1	79,4	91,0	-		-		-		-		-
770		777		-		63,2	83,1	69,6	79,8	91,2	-		-		-		-		-
780		788		-		63,6	83,3	70,0	80,1	81,4	-		-		-		-		-
790		798		-		64,0	83,5	70,4	80,4	91,5	-		-		-		-		-
800		808		-		64,4	83,7	70,8	80,8	91,7	-		-		-		-		-
810		818		-		64,7	83,9	71,3	81,1	91,9	-		-		-		-		-
820		828		-		65,1	84,1	74,7	81,4	92,0	-		-		-		-		-
830		838		-		65,4	84,3	72,1	81,7	92,2	-		-		-		-		-
840		848		-		65,8	84,5	72,4	82,0	92,3	-		-		-		-		-
