580		54,2		77,9		58,8		71,7		87,1
590		54,7		78,2		59,4		72,2		87,4
600		55,2		78,5		60,0		72,6		87,6
610		55,7		78,7		60,6		73,1		87,8
620		56,2		75,0		61,1		73,5		88,1
630		56,6		79,3		61,7		74,0		88,3
640		57,1		79,6		62,2		74,4		88,5
650		57,6		79,8		62,8		74,8		88,7
660		58,0		80,1		63,3		75,2		88,9
670		58,5		80,3		63,8		75,6		89,1
680		58,9		80,6		64,3		76,0		89,3
690		59,3		80,8		64,8		76,4		89,5
700		59,7		81,0		65,3		76,7		89,7
710		60,2		81,3		65,8		77,1		89,9
720		60,6		81,5		66,3		77,4		90,1
730		61,0		81,7		66,7		77,8		90,2
740		61,4		82,0		67,2		78,1		90,4
750		61,8		82,2		67,6		78,5		90,6
760		62,1		82,4		68,1		78,8		90,7
770		62,5		82,6		68,5		79,1		90,9
780		62,9		82,8		68,9		79,5		91,0
790		63,3		83,0		69,4		79,8		91,2
800		63,6		83,2		69,8		80,1		91,3
810		64,0		83,5		70,2		80,4		91,5
820		64,3		83,6		70,6		80,7		91,6
830		64,7		83,8		71,0		81,0		91,8
840		65,0		84,0		71,4		81,3		91,9
850		65,4		84,2		71,7		81,6		92,0
860		65,7		84,4		72,1		81,8		92,2
870		66,0		84,6		72,5		82,2		92,3
880		66,3		84,8		72,8		82,4		92,4
890		66,7		85,0		73,2		82,7		92,5
900		67,0		85,1		73,6		82,9		92,6
910		67,3		85,3		73,9		83,2		92,8
920		67,6		85,5		74,2		83,4		92,9
